nodelist,
id,"Kürzel aus jew. zwei Buchstaben des Vor- und Nachnamens (bei Stars), "
name_real,Vollständiger Name oder Künstler*innen Namen
type,"1 = participant, 2 = Management, 3 = Show"
management,id des Managements (bei Stars)
gender,"1 = female, 2 = male, 3 = diverse"
business,"1 = Selbstständig mit eigener Firma/ Produkt, 2 = Werbung und Kooperationen, 3 = Dienstleistungen und Services, 4 = Sport, 5 = Sonstiges"
business_real,Bezeichnung des ausgeübten Geschäftsmodells (bei Stars)
,
edgelist,
from,id des ausgehenden Knotens
to,id des eingehenden Knotens
vote,"1= normale Stimme, 2= Stimme mit Sonderregel (noch zu definieren) "
relation,"1 = Rausgevoted, 2 = Managementbeziehung, 3 = Teilnehmer*in"
show,"1 = Kampf der Realitystars , 2 = Das Sommerhaus der Stars, 3 = Der Promihof, 4 = Are You The One? VIP, 5 = Love Island VIP, 6 = Ich bin ein Star/ Duschungelcamp"
instagram,"1 = Follow, 2 = gemeinsamer Post (1.7.25 - 15.2.26)"
love,"1 = Kennenlernphase/ Flirt während der ShowPartner*innen, 2 = Partner*innen, 3 = Ex*partnerinnen/ Ex*kennenlernphasen"
